no,code,name
1099,112610,씨에스윈드
1100,115530,씨엔플러스
1101,225330,씨엠에스에듀
1102,115480,씨유메디칼
1103,189330,씨이랩
1104,96530,씨젠
1105,900120,씨케이에이치
1106,101240,씨큐브
1107,60590,씨티씨바이오
1108,260930,씨티케이코스메틱스
1109,13990,아가방컴퍼니
1110,123860,아나패스
1111,25980,아난티
1112,8700,아남전자
1113,58220,아리온
1114,125210,아모그린텍
1115,90430,아모레퍼시픽
1116,2790,아모레퍼시픽그룹
1117,52710,아모텍
1118,74430,아미노로직스
1119,92040,아미코젠
1120,83930,아바코
1121,149950,아바텍
1122,36010,아비코전자
1123,2030,아세아
1124,183190,아세아시멘트
1125,2310,아세아제지
1126,50860,아세아텍
1127,246720,아스타
1128,67390,아스트
1129,127710,아시아경제
1130,267850,아시아나IDT
1131,20560,아시아나항공
1132,154030,아시아종묘
1133,227610,아우딘퓨쳐스
1134,143160,아이디스
1135,54800,아이디스홀딩스
1136,122900,아이마켓코리아
1137,99190,아이센스
1138,289010,아이스크림에듀
1139,214430,아이쓰리시스템
1140,40910,아이씨디
1141,68940,아이씨케이
1142,52860,아이앤씨
1143,10780,아이에스동서
1144,69920,아이에스이커머스
1145,38880,아이에이
1146,123010,아이에이네트웍스
1147,3560,아이에이치큐
1148,307180,아이엘사이언스
1149,101390,아이엠
1150,90740,아이엠이연이
1151,226350,아이엠텍
1152,78860,아이오케이
1153,114810,아이원스
1154,31310,아이즈비전
1155,185490,아이진
1156,59100,아이컴포넌트
1157,149010,아이케이세미콘
1158,175250,아이큐어
1159,52460,아이크래프트
1160,119830,아이텍
1161,52770,아이톡시
1162,124500,아이티센
1163,84850,아이티엠반도체
1164,223220,아이피몬스터
1165,27360,아주IB투자
1166,33660,아주캐피탈
1167,32080,아즈텍WB
1168,13310,아진산업
1169,59120,아진엑스텍
1170,158430,아톤
1171,149300,아퓨어스
1172,67160,아프리카TV
1173,1540,안국약품
1174,53800,안랩
1175,251280,안지오랩
1176,65660,안트로젠
1177,297570,알로이스
1178,1780,알루코
1179,260660,알리코제약
1180,131370,알서포트
1181,140670,알에스오토메이션
1182,96610,알에프세미
1183,61040,알에프텍
1184,148250,알엔투테크놀로지
1185,196170,알테오젠
1186,123750,알톤스포츠
1187,85810,알티캐스트
1188,117670,알파홀딩스
1189,293780,압타바이오
1190,267810,앙츠
1191,18250,애경산업
1192,161000,애경유화
1193,196300,애니젠
1194,310200,애니플러스
1195,179530,애드바이오텍
1196,205500,액션스퀘어
1197,52790,액토즈소프트
1198,131400,액트
1199,290740,액트로
1200,238090,앤디포스
